Stock,RawStock,Horizon,Entry,EntryZone,RSI,EqSL,EqT1,EqT2,EqT3,EqT4,EqT5,Opt,Prem,PT1,PT2,PT3,PT4,PT5,OptSL,Score,Tag
NIFTY 50 (Put),NIFTY,Intraday,23203.55,₹23200.0 - ₹23207.1 (🎯 ₹23203.6),16.7,23221.5,23189.2,23174.8,23160.5,23146.1,23131.8,23200 PE,89.81,96.8,104.2,111.9,120.0,128.3,81.5,10,Index 5m Scalp
BANK NIFTY (Put),BANKNIFTY,Intraday,55977.1,₹55967.0 - ₹55987.2 (🎯 ₹55977.1),19.9,56027.6,55936.7,55896.3,55855.9,55815.6,55775.2,56000 PE,169.81,191.2,214.2,238.8,264.7,292.2,145.3,10,Index 5m Scalp
